Time,Error,P,I-Accumulator,D,Output
1611013493757,2.9688182101652636,5.937636420330527,0,0,1
1611013493758,2.9688182101652636,5.937636420330527,0,0,1
1611013493758,2.9688182101652636,5.937636420330527,0,0,1
1611013493759,2.967704574814023,5.935409149628046,0,0,1
1611013493759,2.967704574814023,5.935409149628046,0,0,1
1611013493760,2.9665909394627823,5.933181878925565,0,0,1
1611013493760,2.9665909394627823,5.933181878925565,0,0,1
1611013493760,2.9654773041115416,5.930954608223083,0,0,1
1611013493761,2.9654773041115416,5.930954608223083,0,0,1
1611013493761,2.964363668760301,5.928727337520602,0,0,1
1611013493762,2.964363668760301,5.928727337520602,0,0,1
1611013493762,2.9632500334090603,5.926500066818121,0,0,1
1611013493763,2.9632500334090603,5.926500066818121,0,0,1
1611013493763,2.96213639805782,5.92427279611564,0,0,1
1611013493764,2.96213639805782,5.92427279611564,0,0,1
1611013493764,2.96213639805782,5.92427279611564,0,0,1
1611013493764,2.9610227627065795,5.922045525413159,0,0,1
1611013493765,2.9610227627065795,5.922045525413159,0,0,1
1611013493765,2.959909127355339,5.919818254710678,0,0,1
1611013493766,2.959909127355339,5.919818254710678,0,0,1
1611013493766,2.958795492004098,5.917590984008196,0,0,1
1611013493767,2.958795492004098,5.917590984008196,0,0,1
1611013493767,2.9576818566528575,5.915363713305715,0,0,1
1611013493768,2.9576818566528575,5.915363713305715,0,0,1
1611013493768,2.956568221301617,5.913136442603234,0,0,1
1611013493768,2.956568221301617,5.913136442603234,0,0,1
1611013493769,2.9554545859503762,5.9109091719007525,0,0,1
1611013493769,2.9554545859503762,5.9109091719007525,0,0,1
1611013493770,2.9543409505991356,5.908681901198271,0,0,1
1611013493770,2.9543409505991356,5.908681901198271,0,0,1
1611013493771,2.9532273152478954,5.906454630495791,0,0,1
1611013493771,2.9532273152478954,5.906454630495791,0,0,1
1611013493771,2.9521136798966547,5.9042273597933095,0,0,1
1611013493772,2.9521136798966547,5.9042273597933095,0,0,1
1611013493772,2.951000044545414,5.902000089090828,0,0,1
1611013493773,2.951000044545414,5.902000089090828,0,0,1
1611013493773,2.9498864091941734,5.899772818388347,0,0,1
1611013493774,2.9498864091941734,5.899772818388347,0,0,1
1611013493774,2.948772773842933,5.897545547685866,0,0,1
1611013493774,2.948772773842933,5.897545547685866,0,0,1
1611013493775,2.947659138491692,5.895318276983384,0,0,1
1611013493775,2.947659138491692,5.895318276983384,0,0,1
1611013493776,2.9465455031404515,5.893091006280903,0,0,1
1611013493776,2.9465455031404515,5.893091006280903,0,0,1
1611013493777,2.9454318677892113,5.890863735578423,0,0,1
1611013493777,2.9454318677892113,5.890863735578423,0,0,1
1611013493777,2.9443182324379706,5.888636464875941,0,0,1
1611013493778,2.9443182324379706,5.888636464875941,0,0,1
1611013493778,2.94320459708673,5.88640919417346,0,0,1
1611013493779,2.94320459708673,5.88640919417346,0,0,1
1611013493779,2.9420909617354893,5.884181923470979,0,0,1
1611013493780,2.9420909617354893,5.884181923470979,0,0,1
1611013493780,2.9409773263842487,5.881954652768497,0,0,1
1611013493780,2.9409773263842487,5.881954652768497,0,0,1
1611013493781,2.939863691033008,5.879727382066016,0,0,1
1611013493781,2.9387500556817674,5.877500111363535,0,0,1
1611013493782,2.9387500556817674,5.877500111363535,0,0,1
1611013493782,2.937636420330527,5.875272840661054,0,0,1
1611013493783,2.937636420330527,5.875272840661054,0,0,1
1611013493783,2.9365227849792865,5.873045569958573,0,0,1
1611013493783,2.9365227849792865,5.873045569958573,0,0,1
1611013493784,2.935409149628046,5.870818299256092,0,0,1
1611013493784,2.935409149628046,5.870818299256092,0,0,1
1611013493785,2.9342955142768052,5.8685910285536105,0,0,1
1611013493785,2.9342955142768052,5.8685910285536105,0,0,1
1611013493786,2.9331818789255646,5.866363757851129,0,0,1
1611013493786,2.932068243574324,5.864136487148648,0,0,1
1611013493786,2.932068243574324,5.864136487148648,0,0,1
1611013493787,2.9309546082230833,5.861909216446167,0,0,1
1611013493787,2.9309546082230833,5.861909216446167,0,0,1
1611013493788,2.9298409728718426,5.859681945743685,0,0,1
1611013493788,2.9298409728718426,5.859681945743685,0,0,1
1611013493789,2.9287273375206024,5.857454675041205,0,0,1
1611013493789,2.9287273375206024,5.857454675041205,0,0,1
1611013493789,2.927613702169362,5.855227404338724,0,0,1
1611013493790,2.926500066818121,5.853000133636242,0,0,1
1611013493790,2.926500066818121,5.853000133636242,0,0,1
1611013493791,2.9253864314668805,5.850772862933761,0,0,1
1611013493791,2.9253864314668805,5.850772862933761,0,0,1
1611013493792,2.92427279611564,5.84854559223128,0,0,1
1611013493792,2.92427279611564,5.84854559223128,0,0,1
1611013493792,2.923159160764399,5.846318321528798,0,0,1
1611013493793,2.9220455254131585,5.844091050826317,0,0,1
1611013493793,2.9220455254131585,5.844091050826317,0,0,1
1611013493794,2.9209318900619183,5.841863780123837,0,0,1
1611013493794,2.9209318900619183,5.841863780123837,0,0,1
1611013493795,2.9198182547106777,5.839636509421355,0,0,1
1611013493795,2.9198182547106777,5.839636509421355,0,0,1
1611013493795,2.918704619359437,5.837409238718874,0,0,1
1611013493796,2.9175909840081964,5.835181968016393,0,0,1
1611013493796,2.9175909840081964,5.835181968016393,0,0,1
1611013493797,2.9164773486569557,5.8329546973139115,0,0,1
1611013493797,2.9164773486569557,5.8329546973139115,0,0,1
1611013493798,2.915363713305715,5.83072742661143,0,0,1
1611013493798,2.915363713305715,5.83072742661143,0,0,1
1611013493798,2.9142500779544744,5.828500155908949,0,0,1
1611013493799,2.913136442603234,5.826272885206468,0,0,1
1611013493799,2.913136442603234,5.826272885206468,0,0,1
1611013493800,2.9120228072519936,5.824045614503987,0,0,1
1611013493800,2.9120228072519936,5.824045614503987,0,0,1
1611013493801,2.910909171900753,5.821818343801506,0,0,1
1611013493801,2.9097955365495123,5.819591073099025,0,0,1
1611013493801,2.9097955365495123,5.819591073099025,0,0,1
1611013493802,2.9086819011982716,5.817363802396543,0,0,1
1611013493802,2.9086819011982716,5.817363802396543,0,0,1
1611013493803,2.907568265847031,5.815136531694062,0,0,1
1611013493803,2.9064546304957903,5.812909260991581,0,0,1
1611013493804,2.9064546304957903,5.812909260991581,0,0,1
1611013493804,2.9053409951445497,5.810681990289099,0,0,1
1611013493804,2.9053409951445497,5.810681990289099,0,0,1
1611013493805,2.9042273597933095,5.808454719586619,0,0,1
1611013493805,2.903113724442069,5.806227448884138,0,0,1
1611013493806,2.903113724442069,5.806227448884138,0,0,1
1611013493806,2.902000089090828,5.804000178181656,0,0,1
1611013493807,2.902000089090828,5.804000178181656,0,0,1
1611013493807,2.9008864537395875,5.801772907479175,0,0,1
1611013493808,2.899772818388347,5.799545636776694,0,0,1
1611013493808,2.899772818388347,5.799545636776694,0,0,1
1611013493808,2.8986591830371062,5.7973183660742125,0,0,1
1611013493809,2.8986591830371062,5.7973183660742125,0,0,1
1611013493809,2.8975455476858656,5.795091095371731,0,0,1
1611013493810,2.8964319123346254,5.792863824669251,0,0,1
1611013493810,2.8964319123346254,5.792863824669251,0,0,1
1611013493811,2.8953182769833847,5.7906365539667695,0,0,1
1611013493811,2.8953182769833847,5.7906365539667695,0,0,1
1611013493811,2.894204641632144,5.788409283264288,0,0,1
1611013493812,2.8930910062809034,5.786182012561807,0,0,1
1611013493812,2.8930910062809034,5.786182012561807,0,0,1
1611013493813,2.891977370929663,5.783954741859326,0,0,1
1611013493813,2.890863735578422,5.781727471156844,0,0,1
1611013493814,2.890863735578422,5.781727471156844,0,0,1
1611013493814,2.8897501002271815,5.779500200454363,0,0,1
1611013493814,2.8897501002271815,5.779500200454363,0,0,1
1611013493815,2.888636464875941,5.777272929751882,0,0,1
1611013493815,2.8875228295247006,5.775045659049401,0,0,1
1611013493816,2.8875228295247006,5.775045659049401,0,0,1
1611013493816,2.88640919417346,5.77281838834692,0,0,1
1611013493817,2.8852955588222193,5.770591117644439,0,0,1
1611013493817,2.8852955588222193,5.770591117644439,0,0,1
1611013493817,2.8841819234709787,5.768363846941957,0,0,1
1611013493818,2.8841819234709787,5.768363846941957,0,0,1
1611013493818,2.883068288119738,5.766136576239476,0,0,1
1611013493819,2.8819546527684974,5.763909305536995,0,0,1
1611013493819,2.8819546527684974,5.763909305536995,0,0,1
1611013493820,2.8808410174172567,5.7616820348345135,0,0,1
