Time,Error,P,I-Accumulator,D,Output,Input,Target
1625129021115,0.014447562623427918,0.028895125246855835,-0.02228169034997848,0,0.006613434896877355,-0.1414316896075549,-0.12698412698412698
1625129021127,0.013333927272187324,0.026667854544374647,-0.022215020713617542,-0.022272707024811877,-0.017819873194054772,-0.1403180542563143,-0.12698412698412698
1625129021138,0.013333927272187324,0.026667854544374647,-0.022148351077256604,0,0.004519503467118043,-0.1403180542563143,-0.12698412698412698
1625129021149,0.013333927272187324,0.026667854544374647,-0.022081681440895666,0,0.004586173103478981,-0.1403180542563143,-0.12698412698412698
1625129021160,0.013333927272187324,0.026667854544374647,-0.022015011804534728,0,0.004652842739839919,-0.1403180542563143,-0.12698412698412698
1625129021171,0.01222029192094673,0.02444058384189346,-0.021953910344929994,-0.022272707024811877,-0.019786033527848412,-0.1392044189050737,-0.12698412698412698
1625129021182,0.01222029192094673,0.02444058384189346,-0.02189280888532526,0,0.002547774956568199,-0.1392044189050737,-0.12698412698412698
1625129021193,0.01222029192094673,0.02444058384189346,-0.021831707425720527,0,0.0026088764161729325,-0.1392044189050737,-0.12698412698412698
1625129021204,0.01222029192094673,0.02444058384189346,-0.021770605966115793,0,0.002669977875777666,-0.1392044189050737,-0.12698412698412698
1625129021226,0.01222029192094673,0.02444058384189346,-0.02170950450651106,0,0.0027310793353823998,-0.1392044189050737,-0.12698412698412698
1625129021237,0.01222029192094673,0.02444058384189346,-0.021648403046906326,0,0.0027921807949871334,-0.1392044189050737,-0.12698412698412698
1625129021248,0.01222029192094673,0.02444058384189346,-0.021587301587301592,0,0.002853282254591867,-0.1392044189050737,-0.12698412698412698
1625129021259,0.01222029192094673,0.02444058384189346,-0.02152620012769686,0,0.0029143837141966007,-0.1392044189050737,-0.12698412698412698
1625129021270,0.01222029192094673,0.02444058384189346,-0.021465098668092125,0,0.0029754851738013344,-0.1392044189050737,-0.12698412698412698
1625129021281,0.01222029192094673,0.02444058384189346,-0.02140399720848739,0,0.003036586633406068,-0.1392044189050737,-0.12698412698412698
1625129021292,0.01222029192094673,0.02444058384189346,-0.021342895748882658,0,0.0030976880930108017,-0.1392044189050737,-0.12698412698412698
1625129021303,0.01222029192094673,0.02444058384189346,-0.021281794289277924,0,0.0031587895526155353,-0.1392044189050737,-0.12698412698412698
1625129021314,0.01222029192094673,0.02444058384189346,-0.02122069282967319,0,0.003219891012220269,-0.1392044189050737,-0.12698412698412698
1625129021325,0.01222029192094673,0.02444058384189346,-0.021159591370068457,0,0.0032809924718250026,-0.1392044189050737,-0.12698412698412698
1625129021336,0.01222029192094673,0.02444058384189346,-0.021098489910463723,0,0.0033420939314297363,-0.1392044189050737,-0.12698412698412698
1625129021347,0.01222029192094673,0.02444058384189346,-0.02103738845085899,0,0.00340319539103447,-0.1392044189050737,-0.12698412698412698
1625129021358,0.01222029192094673,0.02444058384189346,-0.020976286991254256,0,0.0034642968506392036,-0.1392044189050737,-0.12698412698412698
1625129021369,0.01222029192094673,0.02444058384189346,-0.020915185531649522,0,0.003525398310243937,-0.1392044189050737,-0.12698412698412698
1625129021380,0.01222029192094673,0.02444058384189346,-0.02085408407204479,0,0.003586499769848671,-0.1392044189050737,-0.12698412698412698
1625129021392,0.01222029192094673,0.02444058384189346,-0.020792982612440055,0,0.0036476012294534045,-0.1392044189050737,-0.12698412698412698
1625129021403,0.01222029192094673,0.02444058384189346,-0.02073188115283532,0,0.003708702689058138,-0.1392044189050737,-0.12698412698412698
1625129021414,0.01222029192094673,0.02444058384189346,-0.020670779693230588,0,0.003769804148662872,-0.1392044189050737,-0.12698412698412698
1625129021425,0.01222029192094673,0.02444058384189346,-0.020609678233625854,0,0.0038309056082676055,-0.1392044189050737,-0.12698412698412698
1625129021436,0.01222029192094673,0.02444058384189346,-0.02054857677402112,0,0.003892007067872339,-0.1392044189050737,-0.12698412698412698
